,author,title,comment,curriculum,id,year,grade,priority
265,Пушкин А.С.,Евгений Онегин,,22 РЛ 2 ст,2,1922,6,
266,Пушкин А.С.,Кавказский пленник,,22 РЛ 2 ст,2,1922,6,
267,Пушкин А.С.,Капитанская дочка,,22 РЛ 2 ст,2,1922,6,
268,Пушкин А.С.,Медный всадник,,22 РЛ 2 ст,2,1922,6,
269,Пушкин А.С.,Скупой рыцарь,,22 РЛ 2 ст,2,1922,6,
270,Пушкин А.С.,Цыганы,,22 РЛ 2 ст,2,1922,6,
271,Пушкин А.С.,Лирика,,22 РЛ 2 ст,2,1922,6,
272,Решетников Ф.М.,Подлиповцы,,22 РЛ 2 ст,2,1922,8,*
273,Салтыков-Щедрин М.Е.,Господа Головлевы,,22 РЛ 2 ст,2,1922,8,*
274,Салтыков-Щедрин М.Е.,Губернские очерки,,22 РЛ 2 ст,2,1922,8,*
275,Салтыков-Щедрин М.Е.,История города Глупова,,22 РЛ 2 ст,2,1922,8,*
276,Салтыков-Щедрин М.Е.,Сказки,,22 РЛ 2 ст,2,1922,8,
277,Северянин И.В.,что-то,,22 РЛ 2 ст,2,1922,8,*
278,Степняк-Кравчинский С.М.,Андрей Кожухов,,22 РЛ 2 ст,2,1922,8,
279,Степняк-Кравчинский С.М.,Подпольная Россия,,22 РЛ 2 ст,2,1922,8,
280,Толстой А.К.,Алеша Попович,,22 РЛ 2 ст,2,1922,5,*
281,Толстой А.К.,Грешница,,22 РЛ 2 ст,2,1922,7,
282,Толстой А.К.,Илья Муромец,,22 РЛ 2 ст,2,1922,5,*
283,Толстой А.К.,Иоанн Дамаскин,,22 РЛ 2 ст,2,1922,7,
284,Толстой А.К.,Князь Серебряный,,22 РЛ 2 ст,2,1922,7,
285,Толстой А.К.,Колокольчики мои,,22 РЛ 2 ст,2,1922,7,
286,Толстой А.К.,Слеза дрожит,,22 РЛ 2 ст,2,1922,7,
287,Толстой А.К.,"Тщетно, художник, ты мнишь",,22 РЛ 2 ст,2,1922,7,
288,Толстой А.К.,"Ой, кабы Волга-матушка",,22 РЛ 2 ст,2,1922,7,
289,Толстой А.К.,Спесь,,22 РЛ 2 ст,2,1922,7,
290,Толстой А.К.,Трилогия по выбору преподающего,,22 РЛ 2 ст,2,1922,7,
291,Толстой Л.Н.,Анна Каренина,,22 РЛ 2 ст,2,1922,8,
292,Толстой Л.Н.,Власть тьмы,,22 РЛ 2 ст,2,1922,8,
293,Толстой Л.Н.,Война и мир,,22 РЛ 2 ст,2,1922,8,
294,Толстой Л.Н.,Воскресение,,22 РЛ 2 ст,2,1922,8,
295,Толстой Л.Н.,Детство. Отрочество. Юность,,22 РЛ 2 ст,2,1922,8,
296,Толстой Л.Н.,Плоды просвещения,,22 РЛ 2 ст,2,1922,8,
297,Толстой Л.Н.,Смерть Ивана Ильича,,22 РЛ 2 ст,2,1922,8,
298,Тургенев И.С.,Дворянское гнездо,,22 РЛ 2 ст,2,1922,7,
299,Тургенев И.С.,Записки охотника,,22 РЛ 2 ст,2,1922,7,
300,Тургенев И.С.,Накануне,,22 РЛ 2 ст,2,1922,7,
301,Тургенев И.С.,Отцы и дети,,22 РЛ 2 ст,2,1922,7,
302,Тургенев,Стихотворения в прозе,,22 РЛ 2 ст,2,1922,7,
303,Тургенев И.С.,Рудин,,22 РЛ 2 ст,2,1922,7,
