,Unnamed: 0,author,title,comment,curriculum,id,year,grade,priority,1947,1948,au_48,au_47
129,177,Гаршин В.М.,Attelea princeps,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
130,179,Герцен А.И.,Доктор Крупов,,22 РЛ 2 ст,2,1922,7,,0,0,1,0
131,180,Герцен А.И.,Кто виноват?,,22 РЛ 2 ст,2,1922,7,,0,1,1,0
132,181,Гоголь Н.В.,Вечера на Хуторе близ Диканьки,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
133,182,Гоголь Н.В.,Мертвые души,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
134,183,Гоголь Н.В.,Портрет,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
135,184,Гоголь Н.В.,Ревизор,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
136,185,Гоголь Н.В.,Старосветские помещики,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
137,186,Гоголь Н.В.,Шинель,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
138,187,Гончаров И.А.,Обломов,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
139,188,Гончаров И.А.,Обрыв,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
140,189,Горький М.,Бывшие люди,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
141,190,Горький М.,Коновалов,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
142,191,Горький М.,Мать,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
143,192,Горький М.,На дне,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
144,193,Горький М.,Трое,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
145,194,Горький М.,Фома Гордеев,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
146,195,Горький М.,Челкаш,,22 РЛ 2 ст,2,1922,8,,0,1,1,1
147,197,Грибоедов А.С.,Горе от ума,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
148,198,Гусев-Оренбургский С.И.,Страна отцов,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
149,201,Достоевский Ф.М.,Братья Карамазовы,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
150,202,Достоевский Ф.М.,Записки из мертвого дома,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
151,203,Достоевский Ф.М.,Преступление и наказание,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
152,204,Жуковский В.А.,19 марта 1823,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
153,205,Жуковский В.А.,Минувших дней очарованье,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
154,206,Жуковский В.А.,Море,,22 РЛ 2 ст,2,1922,6,,1,0,1,1
155,207,Жуковский В.А.,Светлана,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
156,208,Жуковский В.А.,Теон и Эсхин,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
157,209,Златовратский Н.Н.,Деревенские будни,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
158,210,Златовратский Н.Н.,Золотые сердца,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
159,211,Златовратский Н.Н.,Устои,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
160,212,Карамзин Н.М.,Бедная Лиза,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
161,214,Кольцов А.В.,Песни и думы,,22 РЛ 2 ст,2,1922,6,,0,0,0,0
162,215,Короленко В.Г.,Без языка,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
163,216,Короленко В.Г.,В дурном обществе,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
164,217,Короленко В.Г.,История моего современника,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
165,218,Короленко В.Г.,Лес шумит,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
166,219,Короленко В.Г.,Нестрашное,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
167,220,Короленко В.Г.,Слепой музыкант,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
168,221,Короленко В.Г.,Сон Макара,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
169,222,Короленко В.Г.,Старый звонарь,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
170,223,Крылов И.А.,Басни,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
171,224,Куприн А.И.,Конокрады,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
172,225,Куприн А.И.,Мирное Житие,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
173,226,Куприн А.И.,Поединок,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
174,227,Куприн А.И.,Трус,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
175,228,Левитов А.И.,Степные очерки,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
176,229,Лермонтов М.Ю.,Герой нашего времени,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
177,230,Лермонтов М.Ю.,Демон,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
178,231,Лермонтов М.Ю.,Песня о купце Калашникове,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
179,232,Ломоносов М.В.,Вечернее размышление,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
180,233,Ломоносов М.В.,Ода на день восшествия на престол императрицы Елизаветы Петровны,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
181,234,Майков А.Н.,Два мира,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
182,235,Майков А.Н.,Искусство,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
183,236,Майков А.Н.,Муза,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
184,237,Майков А.Н.,Пустынник,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
185,238,Майков А.Н.,Три смерти,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
186,239,Майков А.Н.,Художнику,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
187,242,Некрасов Н.А.,Кому на Руси жить хорошо,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
188,243,Некрасов Н.А.,Муза,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
189,244,Некрасов Н.А.,Размышления у парадного подъезда,,22 РЛ 2 ст,2,1922,7,,1,0,1,1
190,245,Некрасов Н.А.,Русские женщины,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
191,246,Некрасов Н.А.,Рыцарь на час,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
192,247,Островский А.Н.,Бедность не порок,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
